Identificador;Tipo;Órgão/Sigla;Número;Ano;Data do ato;Natureza;Ementa;Assinante;Altera;Revoga / Torna sem efeito;Substitui / Retifica / Republica;Cita / Fundamenta-se em;Processo SEI;Doc. SEI;Link SEI (processo);Link SEI (documento);Boletim nº;Data do Boletim;Seção;Página;Arquivo
DTS GQA nº 29/2025;DETERMINAÇÃO DE SERVIÇO;GQA;29;2025;2025-12-29;Designa;Designa a banca examinadora e o secretário para seleção simplificada para professores substitutos, área de conhecimento Química Analítica, referente ao processo SEI/UFF 23069.188182/2025-17.;DETERMINAÇÃO DE SERVIÇO GQA/UFF Nº 29, DE 29 DE DEZEMBRO DE 2025.;;;;;23069.188182/2025-17;;https://sei.uff.br/sei/modulos/pesquisa/md_pesq_processo_pesquisar.php?acao_externa=protocolo_pesquisar&acao_origem_externa=protocolo_pesquisar&id_orgao_acesso_externo=0&txtProtocoloPesquisa=23069.188182/2025-17;;01;05/01/2026;I;2;01-26.pdf
DTS RCN nº 7/2025;DETERMINAÇÃO DE SERVIÇO;RCN;7;2025;2025-12-29;Designa;Designação de docentes para comporem a Banca de revisão de notas, da disciplina de Cálculo III, do período 2-2025, do Departamento de Ciências da Natureza (RCN).;FERNANDO SALIBY DE SIMONI;;;;;;;;;01;05/01/2026;I;4;01-26.pdf
DTS RCN nº 8/2025;DETERMINAÇÃO DE SERVIÇO;RCN;8;2025;2025-12-29;Designa;Designação de docentes para a Comissão de Análise de RAD, do exercício de 2025, do Departamento de Ciências da Natureza.;FERNANDO SALIBY DE SIMONI;;;;;;;;;01;05/01/2026;I;5;01-26.pdf
DTS RCN nº 9/2025;DETERMINAÇÃO DE SERVIÇO;RCN;9;2025;2025-12-29;Designa;Designação de docentes para comporem a Banca do concurso para professor substituto, do Departamento de Ciências da Natureza.;FERNANDO SALIBY DE SIMONI;;;;;;;;;01;05/01/2026;I;6;01-26.pdf
DTS SGC nº 4/2025;DETERMINAÇÃO DE SERVIÇO;SGC;4;2025;2025-12-30;Altera;Altera a composição do Comitê de Avaliação de Processos de Revalidação de Diplomas obtidos no exterior do Curso de Graduação em Ciências Contábeis da Faculdade de Administração e Ciências Contábeis – EST.;ALINE MOURA COSTA DA SILVA;;DTS SGC/UFF nº 1;;;;;;;01;05/01/2026;I;7;01-26.pdf
DTS SGC nº 5/2025;DETERMINAÇÃO DE SERVIÇO;SGC;5;2025;2025-12-30;Altera;Altera a composição do Núcleo Docente Estruturante (NDE) do Curso de Graduação em Ciências Contábeis da Faculdade de Administração e Ciências Contábeis – EST.;ALINE MOURA COSTA DA SILVA;;DTS SGC/UFF nº 2;;"Resolução CUV/UFF nº 155/2008; Portaria nº 13/2006; Resolução CEP nº 150/2010; Resolução nº 15/2003; Edital PROFIAP nº 02/2025; Edital PROFIAP UFF nº 02/2025";;;;;01;05/01/2026;I;8;01-26.pdf
Resolução CMN nº 1/2026;RESOLUÇÃO;CMN;1;2026;2026-01-02;;Define função e composição da Comissão de Orientação Acadêmica (CORAC) do Curso de Graduação em Nutrição da Faculdade de Nutrição Emília de Jesus Ferreiro O COLEGIADO DO CURSO DE GRADUAÇÃO EM NUTRIÇÃO DA UFF, no uso de suas atribuições regimentais, e considerando o disposto na Reunião Ordinária do Colegiado de Curso realizada no dia 03 de dezembro de 2025, resolve:;ALINE SILVA DE AGUIAR;;;;;;;;;01;05/01/2026;III;117;01-26.pdf
Portaria nº 3137/2025;PORTARIA;;3137;2025;2025-11-17;;;PORTARIA Nº 3137, DE 17 DE NOVEMBRO DE 2025;;;;;23069.185117/2025-21;3102171;https://sei.uff.br/sei/modulos/pesquisa/md_pesq_processo_pesquisar.php?acao_externa=protocolo_pesquisar&acao_origem_externa=protocolo_pesquisar&id_orgao_acesso_externo=0&txtProtocoloPesquisa=23069.185117/2025-21;https://sei.uff.br/sei/controlador_externo.php?acao=documento_conferir&id_orgao_acesso_externo=0&id_documento=3102171;01;05/01/2026;III;119;01-26.pdf
Portaria nº 3138/2025;PORTARIA;;3138;2025;2025-11-17;;;PORTARIA Nº 3138, DE 17 DE NOVEMBRO DE 2025;;;;;23069.184268/2025-62;3102182;https://sei.uff.br/sei/modulos/pesquisa/md_pesq_processo_pesquisar.php?acao_externa=protocolo_pesquisar&acao_origem_externa=protocolo_pesquisar&id_orgao_acesso_externo=0&txtProtocoloPesquisa=23069.184268/2025-62;https://sei.uff.br/sei/controlador_externo.php?acao=documento_conferir&id_orgao_acesso_externo=0&id_documento=3102182;01;05/01/2026;IV;121;01-26.pdf
Portaria nº 3139/2025;PORTARIA;;3139;2025;2025-11-17;;;PORTARIA Nº 3139, DE 17 DE NOVEMBRO DE 2025;;;;;23069.184035/2025-60;3102186;https://sei.uff.br/sei/modulos/pesquisa/md_pesq_processo_pesquisar.php?acao_externa=protocolo_pesquisar&acao_origem_externa=protocolo_pesquisar&id_orgao_acesso_externo=0&txtProtocoloPesquisa=23069.184035/2025-60;https://sei.uff.br/sei/controlador_externo.php?acao=documento_conferir&id_orgao_acesso_externo=0&id_documento=3102186;01;05/01/2026;IV;122;01-26.pdf
